	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L1_CD49a	L2_CD49a	L3_CD49a
D230025D16Rik	1452	1282	777	1423	1271	920	1423	1138	935	1181	1097	1008
D230030E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
D230049E03Rik	2	15	11	10	12	14	5	1	14	16	8	5
D2hgdh	1051	979	765	718	690	549	884	819	799	602	749	667
D330023K18Rik	23	36	35	91	29	49	55	81	20	39	59	44
D330025C20Rik	0	0	0	0	0	0	0	0	0	0	0	0
D330037F02Rik	0	0	0	0	0	0	0	0	0	0	0	0
D330041H03Rik	157	221	154	180	104	106	141	208	141	49	87	100
D330046F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
D330050G23Rik	0	0	0	0	0	0	0	0	0	0	0	0
D3Ertd254e	194	218	286	297	227	309	243	207	234	358	252	302
D3Ertd751e	181	231	168	298	320	361	252	205	167	359	328	288
D430001F17Rik	0	1	0	3	0	0	1	0	2	1	1	0
D430013B06Rik	6	6	41	1	8	8	6	31	11	10	1	4
D430018E03Rik	7	0	0	7	3	2	0	0	8	8	6	1
D430019H16Rik	6	0	0	13	6	4	2	0	0	2	16	5
D430020J02Rik	0	20	39	43	45	28	16	30	16	25	25	33
D430036J16Rik	0	0	0	2	0	0	0	0	0	0	0	0
D430040D24Rik	0	0	2	0	2	0	0	3	0	2	1	2
D430041D05Rik	0	0	0	0	0	0	0	0	0	0	1	6
D430042O09Rik	389	341	512	676	659	719	281	454	316	857	486	343
D530014G21Rik	0	0	0	0	0	0	0	0	0	0	0	0
D530018E20Rik	23	23	58	17	10	13	7	21	26	8	11	4
D530033B14Rik	2	1	6	5	0	2	0	2	0	5	0	1
D530037P16Rik	0	0	0	0	0	0	0	0	0	0	0	0
D530049I02Rik	0	0	0	0	0	0	0	0	0	0	0	0
D5Ertd577e	0	0	0	0	0	0	0	0	0	0	0	0
